Movie_Title,Year,Rating,Runtime(Mins),main_genre,side_genre,text_data,cluster_id
Broadway Danny Rose,1984,7.4,84,Comedy,Comedy,Comedy Comedy,8
National Lampoon's Animal House,1978,7.4,109,Comedy,Comedy,Comedy Comedy,8
The Rocky Horror Picture Show,1975,7.4,100,Comedy," Horror,  Musical","Comedy  Horror,  Musical",27
The Party,1968,7.4,99,Comedy,Comedy,Comedy Comedy,8
A.R.O.G,2008,7.3,127,Comedy," Fantasy,  Sci-Fi","Comedy  Fantasy,  Sci-Fi",47
Paddington,2014,7.3,95,Adventure," Comedy,  Family","Adventure  Comedy,  Family",45
Death at a Funeral,2007,7.3,90,Comedy,Comedy,Comedy Comedy,8
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,84,Comedy,Comedy,Comedy Comedy,8
Clerks II,2006,7.3,97,Comedy,Comedy,Comedy Comedy,8
Waking Ned,1998,7.3,91,Comedy,Comedy,Comedy Comedy,8
Election,1999,7.3,103,Comedy, Romance,Comedy  Romance,17
Deconstructing Harry,1997,7.3,96,Comedy,Comedy,Comedy Comedy,8
Dumb and Dumber,1994,7.3,107,Comedy,Comedy,Comedy Comedy,8
The Return of the Living Dead,1985,7.3,91,Comedy," Horror,  Sci-Fi","Comedy  Horror,  Sci-Fi",154
Gremlins,1984,7.3,106,Comedy," Fantasy,  Horror","Comedy  Fantasy,  Horror",74
National Lampoon's Vacation,1983,7.3,98,Adventure, Comedy,Adventure  Comedy,33
The Gods Must Be Crazy,1980,7.3,109,Adventure, Comedy,Adventure  Comedy,33
Hausu,1977,7.3,88,Comedy, Horror,Comedy  Horror,27
The Suicide Squad,2021,7.2,132,Action," Adventure,  Comedy","Action  Adventure,  Comedy",19
School of Rock,2003,7.2,109,Comedy, Music,Comedy  Music,67
A Mighty Wind,2003,7.2,91,Comedy, Music,Comedy  Music,67
The Birdcage,1996,7.2,117,Comedy,Comedy,Comedy Comedy,8
Major League,1989,7.2,107,Comedy, Sport,Comedy  Sport,78
The Lost Boys,1987,7.2,97,Comedy, Horror,Comedy  Horror,27
Re-Animator,1985,7.2,84,Comedy," Horror,  Sci-Fi","Comedy  Horror,  Sci-Fi",154
Caddyshack,1980,7.2,98,Comedy, Sport,Comedy  Sport,78
Grease,1978,7.2,110,Comedy," Musical,  Romance","Comedy  Musical,  Romance",113
Ghostbusters: Afterlife,2021,7.1,124,Adventure," Comedy,  Fantasy","Adventure  Comedy,  Fantasy",98
Le tout nouveau testament,2015,7.1,114,Comedy, Fantasy,Comedy  Fantasy,85
Pitch Perfect,2012,7.1,112,Comedy," Music,  Romance","Comedy  Music,  Romance",175
"Love, Rosie",2014,7.1,102,Comedy, Romance,Comedy  Romance,17
Booksmart,2019,7.1,102,Comedy,Comedy,Comedy Comedy,8
The Muppets,2011,7.1,120,Adventure," Comedy,  Family","Adventure  Comedy,  Family",45
Whatever Works,2009,7.1,93,Comedy, Romance,Comedy  Romance,17
Bienvenue chez les Ch'tis,2008,7.1,106,Comedy, Romance,Comedy  Romance,17
The 40 Year Old Virgin,2005,7.1,116,Comedy, Romance,Comedy  Romance,17
Mean Girls,2004,7.1,97,Comedy,Comedy,Comedy Comedy,8
Anchorman: The Legend of Ron Burgundy,2004,7.1,94,Comedy,Comedy,Comedy Comedy,8
Human Traffic,1999,7.1,99,Comedy, Music,Comedy  Music,67
There's Something About Mary,1998,7.1,119,Comedy, Romance,Comedy  Romance,17
The Frighteners,1996,7.1,110,Comedy," Fantasy,  Horror","Comedy  Fantasy,  Horror",74
Tommy Boy,1995,7.1,97,Adventure, Comedy,Adventure  Comedy,33
Tremors,1990,7.1,96,Comedy, Horror,Comedy  Horror,27
Pretty Woman,1990,7.1,119,Comedy, Romance,Comedy  Romance,17
The Adventures of Baron Munchausen,1988,7.1,126,Adventure," Comedy,  Fantasy","Adventure  Comedy,  Fantasy",98
Coming to America,1988,7.1,117,Comedy, Romance,Comedy  Romance,17
Spaceballs,1987,7.1,96,Adventure," Comedy,  Sci-Fi","Adventure  Comedy,  Sci-Fi",105
Little Shop of Horrors,1986,7.1,94,Comedy," Horror,  Musical","Comedy  Horror,  Musical",27
Better Off Dead...,1985,7.1,97,Comedy, Romance,Comedy  Romance,17
The Jerk,1979,7.1,94,Comedy,Comedy,Comedy Comedy,8
Sleeper,1973,7.1,89,Comedy, Sci-Fi,Comedy  Sci-Fi,47
Dance of the Vampires,1967,7.1,108,Comedy, Horror,Comedy  Horror,27
The Seven Year Itch,1955,7.1,105,Comedy, Romance,Comedy  Romance,17
Gentlemen Prefer Blondes,1953,7.1,91,Comedy," Musical,  Romance","Comedy  Musical,  Romance",113
Arif V 216,2018,7.0,125,Comedy," Fantasy,  Music","Comedy  Fantasy,  Music",85
The Christmas Chronicles,2018,7.0,104,Adventure," Comedy,  Family","Adventure  Comedy,  Family",45
Qu'est-ce qu'on a fait au bon Dieu?,2014,7.0,97,Comedy,Comedy,Comedy Comedy,8
Hundraåringen som klev ut genom fönstret och försvann,2013,7.0,114,Adventure, Comedy,Adventure  Comedy,33
"I Love You, Man",2009,7.0,105,Comedy, Romance,Comedy  Romance,17
Bhoot Police,2021,7.0,129,Comedy, Horror,Comedy  Horror,27
Miss Pettigrew Lives for a Day,2008,7.0,92,Comedy, Romance,Comedy  Romance,17
